date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:18	131012/131012	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2021:24:18%20GMT	https://www.pornweek.nz/	C:/My%20Web%20Sites/pw/www.pornweek.nz/index.html	(from )
14:24:18	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2030%20May%202023%2021:24:18%20GMT	https://www.pornweek.nz/robots.txt		(from )
14:24:19	110284/110284	---M-Z	200	added ('OK')	text/css	etag:%220eab28ab0ba0c27a190c195181796f20%22	https://assets.website-files.com/61af03ac30e53bb54ccb7095/css/prnweek.webflow.19548f598.css	C:/My%20Web%20Sites/pw/assets.website-files.com/61af03ac30e53bb54ccb7095/css/prnweek.webflow.19548f598.css	(from https://www.pornweek.nz/)
14:24:19	2714/2714	---M--	200	added ('OK')	image/png	etag:%22407d07b77f27a7acf34c8c010bef6223%22	https://assets.website-files.com/61af03ac30e53bb54ccb7095/635f06dd0124f46803fb76d9_PW%20Favicon%2032.png	C:/My%20Web%20Sites/pw/assets.website-files.com/61af03ac30e53bb54ccb7095/635f06dd0124f46803fb76d9_PW%20Favicon%2032.png	(from https://www.pornweek.nz/)
14:24:19	10782/10782	---M--	200	added ('OK')	image/png	etag:%22ce7cc1d0e128fb5b6c5762a9eed03d15%22	https://assets.website-files.com/61af03ac30e53bb54ccb7095/635f06e15dee7914fe6820fd_PW%20Favicon%20256.png	C:/My%20Web%20Sites/pw/assets.website-files.com/61af03ac30e53bb54ccb7095/635f06e15dee7914fe6820fd_PW%20Favicon%20256.png	(from https://www.pornweek.nz/)
14:24:19	243895/243895	---MC-	200	added ('OK')	application/javascript	date:Tue,%2030%20May%202023%2021:24:19%20GMT	https://www.googletagmanager.com/gtag/js?id=G-BQH2NB45PP	C:/My%20Web%20Sites/pw/www.googletagmanager.com/gtag/js7090	(from https://www.pornweek.nz/)
14:24:20	19/19	---M--	404	error ('Not%20Found')	text/plain	date:Tue,%2030%20May%202023%2021:24:20%20GMT	https://static.hotjar.com/c/hotjar-	C:/My%20Web%20Sites/pw/static.hotjar.com/c/hotjar-.4.delayed	(from https://www.pornweek.nz/)
14:24:20	6328/6328	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218b8-du6Dzp87eh0ksK+UK1Ks8kS5ZkI%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsslider@1/cmsslider.js	C:/My%20Web%20Sites/pw/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsslider@1/cmsslider.js	(from https://www.pornweek.nz/)
14:24:20	23122/23122	---M-Z	200	added ('OK')	application/javascript	etag:W/%225a52-7l0c8IkTDtvDwGJJ3Yh02Lyvxx0%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	C:/My%20Web%20Sites/pw/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsfilter@1/cmsfilter.js	(from https://www.pornweek.nz/)
14:24:20	18440/18440	---M-Z	200	added ('OK')	application/javascript	etag:W/%224808-98jcUWHSC9JHe1jYw2HWpeOx6ko%22	https://cdn.jsdelivr.net/npm/@finsweet/attributes-cmsload@1/cmsload.js	C:/My%20Web%20Sites/pw/cdn.jsdelivr.net/npm/@finsweet/attributes-cmsload@1/cmsload.js	(from https://www.pornweek.nz/)
14:24:21	17905/17905	---M-Z	200	added ('OK')	text/css	etag:W/%2245f1-DyeSz//WzmXqkOBzNlh8cq0wmCg%22	https://cdn.jsdelivr.net/npm/swiper/swiper-bundle.min.css	C:/My%20Web%20Sites/pw/cdn.jsdelivr.net/npm/swiper/swiper-bundle.min.css	(from https://www.pornweek.nz/)
